pathway	pathID	overlap_size	pathway_size	p-value(raw)	p-value	overlap_features(name)	overlap_features(id)	overlap_input(mzs)	total_metabolites(id)	total_metabolites(name)	overlap_input(featureidx)	input_adduct	MSMS_matching
4-hydroxyproline degradation	HYDROXYPRODEG-PWY	0	0	1.0	0.9996647422193263								
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	UDPNACETYLGALSYN-PWY	0	0	1.0	0.9996647422193263								
icosapentaenoate biosynthesis II (metazoa)	PWY-7049	0	0	1.0	0.9996647422193263								
phosphatidylethanolamine biosynthesis II	PWY4FS-6	0	0	1.0	0.9996647422193263								
molybdenum cofactor biosynthesis	PWY-6823	0	0	1.0	0.9996647422193263								
hydrogen sulfide biosynthesis (trans-sulfuration)	PWY66-426	0	0	1.0	0.9996647422193263								
sucrose degradation	PWY66-373	0	3	1.0	0.9996647422193263				GLC;BETA-D-FRUCTOSE;ALPHA-GLUCOSE	&beta-D-glucose$&beta-D-fructofuranose$&alpha-D-glucose			
sorbitol degradation I	PWY-4101	0	1	1.0	0.9996647422193263				CPD-15382	keto-D-fructose			
spermine and spermidine degradation I	PWY-6117	0	1	1.0	0.9996647422193263				PUTRESCINE	putrescine			
flavin biosynthesis	PWY66-366	0	0	1.0	0.9996647422193263								
phenylalanine degradation/tyrosine biosynthesis	PHENYLALANINE-DEG1-PWY	0	0	1.0	0.9996647422193263								
&gamma;-linolenate biosynthesis	PWY-6000	0	0	1.0	0.9996647422193263								
L-serine degradation	SERDEG-PWY	0	0	1.0	0.9996647422193263								
serine biosynthesis (phosphorylated route)	SERSYN-PWY	0	0	1.0	0.9996647422193263								
selenocysteine biosynthesis	PWY-6281	0	0	1.0	0.9996647422193263								
chondroitin sulfate degradation (metazoa)	PWY-6573	0	0	1.0	0.9996647422193263								
dermatan sulfate degradation (metazoa)	PWY-6576	0	0	1.0	0.9996647422193263								
sulfate activation for sulfonation	PWY-5340	0	0	1.0	0.9996647422193263								
glycine betaine degradation	PWY-3661-1	0	0	1.0	0.9996647422193263								
fatty acid activation	PWY-5143	0	0	1.0	0.9996647422193263								
NADH repair	PWY-6938	0	0	1.0	0.9996647422193263								
(S)-reticuline biosynthesis	PWY-6133	0	0	1.0	0.9996647422193263								
taurine biosynthesis	PWY-5331	0	0	1.0	0.9996647422193263								
MAP kinase cascade	PWY66-14	0	0	1.0	0.9996647422193263								
BMP Signalling Pathway	PWY66-11	0	0	1.0	0.9996647422193263								
acetyl-CoA biosynthesis from citrate	PWY-5172	0	0	1.0	0.9996647422193263								
sulfite oxidation	PWY-5326	0	0	1.0	0.9996647422193263								
thio-molybdenum cofactor biosynthesis	PWY-5963	0	0	1.0	0.9996647422193263								
triacylglycerol degradation	LIPAS-PWY	0	0	1.0	0.9996647422193263								
acyl carrier protein metabolism	PWY-6012-1	0	0	1.0	0.9996647422193263								
phospholipases	LIPASYN-PWY	0	0	1.0	0.9996647422193263								
[2Fe-2S] iron-sulfur cluster biosynthesis	PWY-7250	0	0	1.0	0.9996647422193263								
glycerol degradation	PWY-4261	0	0	1.0	0.9996647422193263								
S-adenosyl-L-methionine biosynthesis	SAM-PWY	0	0	1.0	0.9996647422193263								
mitochondrial L-carnitine shuttle	PWY-6111	0	0	1.0	0.9996647422193263								
3-phosphoinositide degradation	PWY-6368	0	0	1.0	0.9996647422193263								
sphingosine and sphingosine-1-phosphate metabolism	PWY3DJ-11470	0	0	1.0	0.9996647422193263								
anandamide degradation	PWY6666-1	0	0	1.0	0.9996647422193263								
acetone degradation I (to methylglyoxal)	PWY-5451	0	0	1.0	0.9996647422193263								
pyridoxal 5'-phosphate salvage	PLPSAL-PWY	0	0	1.0	0.9996647422193263								
proline degradation	PROUT-PWY	0	0	1.0	0.9996647422193263								
proline biosynthesis	PROSYN-PWY	0	0	1.0	0.9996647422193263								
<i>S</i>-methyl-5'-thioadenosine degradation	PWY-6756	0	0	1.0	0.9996647422193263								
retinol biosynthesis	PWY-6857	0	0	1.0	0.9996647422193263								
retinoate biosynthesis II	PWY-6875	0	0	1.0	0.9996647422193263								
L-dopachrome biosynthesis	PWY-6481	0	0	1.0	0.9996647422193263								
retinoate biosynthesis I	PWY-6872	0	0	1.0	0.9996647422193263								
eumelanin biosynthesis	PWY-6498	0	0	1.0	0.9996647422193263								
the visual cycle I (vertebrates)	PWY-6861	0	0	1.0	0.9996647422193263								
uracil degradation	PWY-3982	0	0	1.0	0.9996647422193263								
PRPP biosynthesis	PWY0-662	0	0	1.0	0.9996647422193263								
L-dopa degradation	PWY-6334	0	0	1.0	0.9996647422193263								
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	PWY-6554	0	0	1.0	0.9996647422193263								
<i>N</i>-acetylglucosamine degradation I	GLUAMCAT-PWY	0	0	1.0	0.9996647422193263								
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)	PWY-6362	0	0	1.0	0.9996647422193263								
&beta;-alanine degradation	BETA-ALA-DEGRADATION-I-PWY	0	0	1.0	0.9996647422193263								
dolichyl-diphosphooligosaccharide biosynthesis	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	0	0	1.0	0.9996647422193263								
aspartate biosynthesis	ASPARTATESYN-PWY	0	0	1.0	0.9996647422193263								
palmitate biosynthesis	PWY-5994	0	0	1.0	0.9996647422193263								
oleate biosynthesis	PWY-5996	0	0	1.0	0.9996647422193263								
glutaryl-CoA degradation	PWY-5177	0	0	1.0	0.9996647422193263								
valine degradation	VALDEG-PWY	0	0	1.0	0.9996647422193263								
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	PWY-5652	0	0	1.0	0.9996647422193263								
acetate conversion to acetyl-CoA	PWY0-1313	0	0	1.0	0.9996647422193263								
pyruvate decarboxylation to acetyl CoA	PYRUVDEHYD-PWY	0	0	1.0	0.9996647422193263								
ornithine <i>de novo </i> biosynthesis	ARGININE-SYN4-PWY	0	1	1.0	0.9996647422193263				L-ORNITHINE	L-ornithine			
glycerol-3-phosphate shuttle	PWY-6118	0	0	1.0	0.9996647422193263								
ketolysis	PWY66-368	0	0	1.0	0.9996647422193263								
L-cysteine degradation II	PWY-5329	0	0	1.0	0.9996647422193263								
ketogenesis	PWY66-367	0	0	1.0	0.9996647422193263								
L-cysteine degradation I	CYSTEINE-DEG-PWY	0	0	1.0	0.9996647422193263								
spermine biosynthesis	ARGSPECAT-PWY	0	0	1.0	0.9996647422193263								
creatine biosynthesis	GLYCGREAT-PWY	0	1	1.0	0.9996647422193263				L-ORNITHINE	L-ornithine			
pentose phosphate pathway (non-oxidative branch)	NONOXIPENT-PWY	0	0	1.0	0.9996647422193263								
pentose phosphate pathway (oxidative branch)	OXIDATIVEPENT-PWY-1	0	0	1.0	0.9996647422193263								
creatine-phosphate biosynthesis	PWY-6158	0	0	1.0	0.9996647422193263								
malate-aspartate shuttle	MALATE-ASPARTATE-SHUTTLE-PWY	0	0	1.0	0.9996647422193263								
asparagine biosynthesis	ASPARAGINE-BIOSYNTHESIS	0	0	1.0	0.9996647422193263								
histamine biosynthesis	PWY-6173	0	0	1.0	0.9996647422193263								
diphthamide biosynthesis	PWY-6482	0	0	1.0	0.9996647422193263								
propionyl-CoA degradation	PROPIONMET-PWY	0	0	1.0	0.9996647422193263								
hypusine biosynthesis	PWY-5905	0	0	1.0	0.9996647422193263								
methylglyoxal degradation III	PWY-5453	0	0	1.0	0.9996647422193263								
choline degradation	CHOLINE-BETAINE-ANA-PWY	0	0	1.0	0.9996647422193263								
methylglyoxal degradation I	PWY-5386	0	0	1.0	0.9996647422193263								
methylglyoxal degradation VI	MGLDLCTANA-PWY	0	0	1.0	0.9996647422193263								
asparagine degradation	ASPARAGINE-DEG1-PWY-1	0	0	1.0	0.9996647422193263								
tRNA charging	TRNA-CHARGING-PWY	0	1	1.0	0.9996647422193263				LYS	L-lysine			
L-glutamine tRNA biosynthesis	PWY-5921	0	0	1.0	0.9996647422193263								
methionine salvage	ADENOSYLHOMOCYSCAT-PWY	0	1	1.0	0.9996647422193263				CPD-397	S-methyl-L-methionine			
lactose degradation III	BGALACT-PWY	0	2	1.0	0.9996647422193263				GALACTOSE;GLC	&beta-D-galactose$&beta-D-glucose			
folate polyglutamylation	PWY-2161	0	0	1.0	0.9996647422193263								
glutamate removal from folates	PWY-2161B	0	0	1.0	0.9996647422193263								
citrulline-nitric oxide cycle	PWY-4983	0	0	1.0	0.9996647422193263								
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	PWY-6613	0	0	1.0	0.9996647422193263								
D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	PWY-6365	0	0	1.0	0.9996647422193263								
inositol pyrophosphates biosynthesis	PWY-6369	0	0	1.0	0.9996647422193263								
D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	PWY-6351	0	1	1.0	0.9996647422193263				MYO-INOSITOL	<I>myo</I>-inositol			
urea cycle	PWY-4984	0	1	1.0	0.9996647422193263				L-ORNITHINE	L-ornithine			
D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis	PWY-6364	0	0	1.0	0.9996647422193263								
glutamine biosynthesis	GLNSYN-PWY	0	0	1.0	0.9996647422193263								
bile acid biosynthesis, neutral pathway	PWY-6061	0	0	1.0	0.9996647422193263								
D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	PWY-6363	0	1	1.0	0.9996647422193263				MYO-INOSITOL	<I>myo</I>-inositol			
zymosterol biosynthesis	PWY-6074	0	0	1.0	0.9996647422193263								
D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis	PWY-6366	0	0	1.0	0.9996647422193263								
pyrimidine deoxyribonucleotide phosphorylation	PWY-7197	0	0	1.0	0.9996647422193263								
leucine degradation	LEU-DEG2-PWY	0	0	1.0	0.9996647422193263								
lanosterol biosynthesis	PWY-6132	0	0	1.0	0.9996647422193263								
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	PWY-7184	0	0	1.0	0.9996647422193263								
acyl-CoA hydrolysis	PWY-5148	0	0	1.0	0.9996647422193263								
allopregnanolone biosynthesis	PWY-7455	0	0	1.0	0.9996647422193263								
epoxysqualene biosynthesis	PWY-5670	0	0	1.0	0.9996647422193263								
pyrimidine deoxyribonucleotides biosynthesis from CTP	PWY-7210	0	0	1.0	0.9996647422193263								
dolichol and dolichyl phosphate biosynthesis	PWY-6129	0	0	1.0	0.9996647422193263								
biotin-carboxyl carrier protein assembly	PWY0-1264	0	0	1.0	0.9996647422193263								
sphingomyelin metabolism/ceramide salvage	PWY3DJ-11281	0	0	1.0	0.9996647422193263								
triacylglycerol biosynthesis	TRIGLSYN-PWY	0	0	1.0	0.9996647422193263								
coenzyme A biosynthesis	COA-PWY-1	0	0	1.0	0.9996647422193263								
tRNA splicing	PWY-6689	0	0	1.0	0.9996647422193263								
mRNA capping	PWY-7375-1	0	0	1.0	0.9996647422193263								
2-oxoglutarate decarboxylation to succinyl-CoA	PWY-5084	0	0	1.0	0.9996647422193263								
2-oxoisovalerate decarboxylation to isobutanoyl-CoA	PWY-5046	0	0	1.0	0.9996647422193263								
folate transformations I	PWY-2201	0	0	1.0	0.9996647422193263								
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	PWY-7286	0	0	1.0	0.9996647422193263								
melatonin degradation II	PWY-6399	0	1	1.0	0.9996647422193263				CPD-12020	5-methoxyindole acetate			
fatty acid elongation -- saturated	FASYN-ELONG-PWY	0	0	1.0	0.9996647422193263								
fatty acid biosynthesis initiation	PWY-5966-1	0	0	1.0	0.9996647422193263								
melatonin degradation I	PWY-6398	0	0	1.0	0.9996647422193263								
lysine degradation II (pipecolate pathway)	PWY66-425	0	1	1.0	0.9996647422193263				LYS	L-lysine			
lysine degradation I (saccharopine pathway)	LYSINE-DEG1-PWY	0	1	1.0	0.9996647422193263				LYS	L-lysine			
formaldehyde oxidation	PWY-1801	0	0	1.0	0.9996647422193263								
melatonin degradation III	PWY-6400	0	0	1.0	0.9996647422193263								
histidine degradation	PWY-5030	0	0	1.0	0.9996647422193263								
ethanol degradation II	PWY66-21	0	0	1.0	0.9996647422193263								
ethanol degradation IV	PWY66-162	0	0	1.0	0.9996647422193263								
oxidative ethanol degradation III	PWY66-161	0	0	1.0	0.9996647422193263								
heme biosynthesis from uroporphyrinogen-III I	HEME-BIOSYNTHESIS-II	0	0	1.0	0.9996647422193263								
cardiolipin biosynthesis	PWY-5269	0	0	1.0	0.9996647422193263								
phosphatidylcholine biosynthesis	PWY3O-450	0	0	1.0	0.9996647422193263								
nicotine degradation IV	PWY66-201	1	3	0.39452991452991504	0.9996647422193263	4-hydroxy-4-(3-pyridyl)-butanoate	CPD-3193	182.082067454	CPD-3193;4-3-PYRIDYL-BUTANOATE;CPD-2748	4-hydroxy-4-(3-pyridyl)-butanoate$4-(3-pyridyl)-butanoate$nornicotine	38	M+H[1+]	
nicotine degradation III	PWY66-221	1	2	0.27920227920227875	0.9996647422193263	4-hydroxy-4-(3-pyridyl)-butanoate	CPD-3193	182.082067454	CPD-3193;4-3-PYRIDYL-BUTANOATE	4-hydroxy-4-(3-pyridyl)-butanoate$4-(3-pyridyl)-butanoate	38	M+H[1+]	
guanosine nucleotides degradation	PWY-6608	0	0	1.0	0.9996647422193263								
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis	PWY-7226	0	0	1.0	0.9996647422193263								
ascorbate recycling (cytosolic)	PWY-6370	0	0	1.0	0.9996647422193263								
D-galactose degradation V (Leloir pathway)	PWY66-422	0	2	1.0	0.9996647422193263				GALACTOSE;ALPHA-D-GALACTOSE	&beta-D-galactose$&alpha-D-galactose			
phytol degradation	PWY66-389	0	1	1.0	0.9996647422193263				CPD-14927	phytenate			
spermidine biosynthesis	BSUBPOLYAMSYN-PWY	0	1	1.0	0.9996647422193263				PUTRESCINE	putrescine			
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	PWY-4361	0	0	1.0	0.9996647422193263								
phenylethylamine degradation I	2PHENDEG-PWY	0	0	1.0	0.9996647422193263								
protein citrullination	PWY-4921	0	0	1.0	0.9996647422193263								
histamine degradation	PWY-6181	0	0	1.0	0.9996647422193263								
threonine degradation	PWY66-428	0	0	1.0	0.9996647422193263								
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	PWY-6755	0	0	1.0	0.9996647422193263								
dopamine degradation	PWY6666-2	0	0	1.0	0.9996647422193263								
UTP and CTP dephosphorylation I	PWY-7185	0	0	1.0	0.9996647422193263								
4-aminobutyrate degradation	PWY-6535	0	0	1.0	0.9996647422193263								
GDP-mannose biosynthesis	PWY-5659	0	0	1.0	0.9996647422193263								
UTP and CTP dephosphorylation II	PWY-7177	0	0	1.0	0.9996647422193263								
GDP-L-fucose biosynthesis I (from GDP-D-mannose)	PWY-66	0	0	1.0	0.9996647422193263								
GDP-L-fucose biosynthesis II (from L-fucose)	PWY-6	0	0	1.0	0.9996647422193263								
docosahexaenoate biosynthesis III (mammals)	PWY-7606	0	0	1.0	0.9996647422193263								
geranylgeranyldiphosphate biosynthesis	PWY-5120	0	0	1.0	0.9996647422193263								
ubiquinol-10 biosynthesis	PWY-5872	0	0	1.0	0.9996647422193263								
protein ubiquitylation	PWY-7511	0	0	1.0	0.9996647422193263								
protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation	PWY-7437	0	0	1.0	0.9996647422193263								
ceramide <i>de novo</i> biosynthesis	PWY3DJ-12	0	0	1.0	0.9996647422193263								
TCA cycle	PWY66-398	0	0	1.0	0.9996647422193263								
terminal <i>O</i>-glycans residues modification	PWY-7434	0	0	1.0	0.9996647422193263								
cysteine biosynthesis/homocysteine degradation (trans-sulfuration)	HOMOCYSDEGR-PWY	0	0	1.0	0.9996647422193263								
mucin core 1 and core 2 <i>O</i>-glycosylation	PWY-7433	0	0	1.0	0.9996647422193263								
dTMP <i>de novo</i> biosynthesis (mitochondrial)	PWY66-385	0	0	1.0	0.9996647422193263								
stearate biosynthesis	PWY-5972	0	0	1.0	0.9996647422193263								
4-hydroxybenzoate biosynthesis	PWY-5754	0	0	1.0	0.9996647422193263								
CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	PWY-6138	0	0	1.0	0.9996647422193263								
purine deoxyribonucleosides salvage	PWY-7224	0	0	1.0	0.9996647422193263								
adenine and adenosine salvage III	PWY-6609	0	0	1.0	0.9996647422193263								
adenine and adenosine salvage I	P121-PWY	0	0	1.0	0.9996647422193263								
adenine and adenosine salvage II	PWY-6619	0	0	1.0	0.9996647422193263								
guanine and guanosine salvage	PWY-6620	0	0	1.0	0.9996647422193263								
alanine biosynthesis/degradation	ALANINE-DEG3-PWY	0	0	1.0	0.9996647422193263								
5-aminoimidazole ribonucleotide biosynthesis	PWY-6121	0	1	1.0	0.9996647422193263				5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	2-(formamido)-N<sup>1</sup>-(5-phospho-&beta-D-ribosyl)acetamidine			
thiosulfate disproportionation III (rhodanese)	PWY-5350	0	0	1.0	0.9996647422193263								
thyroid hormone metabolism II (via conjugation and/or degradation)	PWY-6261	1	1	0.1481481481481481	0.9996647422193263	L-thyroxine acyl &beta-D-glucuronide	CPD-11401	991.679020346	CPD-11401	L-thyroxine acyl &beta-D-glucuronide	31	M+K[1+]	
D-mannose degradation	MANNCAT-PWY	0	0	1.0	0.9996647422193263								
thyroid hormone metabolism I (via deiodination)	PWY-6260	0	0	1.0	0.9996647422193263								
2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	PWY-7180	0	0	1.0	0.9996647422193263								
lipoate biosynthesis and incorporation	PWY0-1275	0	0	1.0	0.9996647422193263								
lipoate salvage	PWY0-522	0	0	1.0	0.9996647422193263								
thiamin salvage III	PWY-6898	0	0	1.0	0.9996647422193263								
tetrapyrrole biosynthesis	PWY-5189	0	0	1.0	0.9996647422193263								
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	PWY-7227	0	0	1.0	0.9996647422193263								
dermatan sulfate biosynthesis (late stages)	PWY-6568	0	0	1.0	0.9996647422193263								
heparan sulfate biosynthesis (late stages)	PWY-6558	0	0	1.0	0.9996647422193263								
trehalose degradation	PWY0-1182	0	2	1.0	0.9996647422193263				GLC;ALPHA-GLUCOSE	&beta-D-glucose$&alpha-D-glucose			
tetrahydrobiopterin <i>de novo</i> biosynthesis	PWY-5663	0	0	1.0	0.9996647422193263								
chondroitin sulfate biosynthesis (late stages)	PWY-6567	0	0	1.0	0.9996647422193263								
glutathione biosynthesis	GLUTATHIONESYN-PWY	0	0	1.0	0.9996647422193263								
urate biosynthesis/inosine 5'-phosphate degradation	PWY-5695	0	0	1.0	0.9996647422193263								
thioredoxin pathway	THIOREDOX-PWY	0	0	1.0	0.9996647422193263								
purine deoxyribonucleosides degradation	PWY-7179-1	0	0	1.0	0.9996647422193263								
purine ribonucleosides degradation to ribose-1-phosphate	PWY0-1296	0	0	1.0	0.9996647422193263								
glycoaminoglycan-protein linkage region biosynthesis	PWY-6557	0	0	1.0	0.9996647422193263								
glutathione redox reactions II	GLUT-REDOX-PWY	0	0	1.0	0.9996647422193263								
adenosine nucleotides degradation	SALVADEHYPOX-PWY	0	0	1.0	0.9996647422193263								
chondroitin biosynthesis	PWY-6566	0	0	1.0	0.9996647422193263								
glutathione redox reactions I	PWY-4081	0	0	1.0	0.9996647422193263								
serotonin and melatonin biosynthesis	PWY-6030	0	0	1.0	0.9996647422193263								
vitamin D<sub>3</sub> biosynthesis	PWY-6076	0	0	1.0	0.9996647422193263								
thyroid hormone biosynthesis	PWY-6241	0	0	1.0	0.9996647422193263								
progesterone biosynthesis	PWY-7299	0	0	1.0	0.9996647422193263								
estradiol biosynthesis II	PWY-7306	0	0	1.0	0.9996647422193263								
morphine biosynthesis	PWY-5270	0	0	1.0	0.9996647422193263								
catecholamine biosynthesis	PWY66-301	0	0	1.0	0.9996647422193263								
C20 prostanoid biosynthesis	PWY66-374	0	0	1.0	0.9996647422193263								
glutamate biosynthesis/degradation	GLUTAMATE-SYN2-PWY	0	0	1.0	0.9996647422193263								
leukotriene biosynthesis	PWY66-375	0	0	1.0	0.9996647422193263								
pregnenolone biosynthesis	PWY66-377	0	0	1.0	0.9996647422193263								
glutamine degradation/glutamate biosynthesis	GLUTAMINDEG-PWY	0	0	1.0	0.9996647422193263								
androgen biosynthesis	PWY66-378	0	0	1.0	0.9996647422193263								
estradiol biosynthesis I	PWY66-380	0	0	1.0	0.9996647422193263								
isoleucine degradation	ILEUDEG-PWY	0	0	1.0	0.9996647422193263								
glucocorticoid biosynthesis	PWY66-381	0	0	1.0	0.9996647422193263								
glycolysis	PWY66-400	0	0	1.0	0.9996647422193263								
mineralocorticoid biosynthesis	PWY66-382	0	0	1.0	0.9996647422193263								
lipoxin biosynthesis	PWY66-392	0	0	1.0	0.9996647422193263								
aspirin-triggered lipoxin biosynthesis	PWY66-393	0	0	1.0	0.9996647422193263								
aspirin triggered resolvin E biosynthesis	PWY66-394	0	0	1.0	0.9996647422193263								
L-carnitine biosynthesis	PWY-6100	0	0	1.0	0.9996647422193263								
aspirin triggered resolvin D biosynthesis	PWY66-395	0	0	1.0	0.9996647422193263								
resolvin D biosynthesis	PWY66-397	0	0	1.0	0.9996647422193263								
Rapoport-Luebering glycolytic shunt	PWY-6405	0	0	1.0	0.9996647422193263								
carnosine biosynthesis	PWY66-420	0	0	1.0	0.9996647422193263								
fructose 2,6-bisphosphate synthesis	PWY66-423	0	0	1.0	0.9996647422193263								
adenosine ribonucleotides <i>de novo</i> biosynthesis	PWY-7219	0	0	1.0	0.9996647422193263								
homocarnosine biosynthesis	PWY66-421	0	0	1.0	0.9996647422193263								
guanosine ribonucleotides <i>de novo</i> biosynthesis	PWY-7221	0	0	1.0	0.9996647422193263								
inosine-5'-phosphate biosynthesis	PWY-6124	0	0	1.0	0.9996647422193263								
glycogenolysis	PWY-5941	0	1	1.0	0.9996647422193263				GLC	&beta-D-glucose			
arachidonate biosynthesis IV (8-detaturase)	PWY-7601	0	0	1.0	0.9996647422193263								
glycogen biosynthesis	PWY-5067	0	0	1.0	0.9996647422193263								
glycine/serine biosynthesis	GLYSYN-PWY	0	0	1.0	0.9996647422193263								
putrescine biosynthesis I	PWY-46	0	2	1.0	0.9996647422193263				PUTRESCINE;L-ORNITHINE	putrescine$L-ornithine			
tyrosine degradation	TYRFUMCAT-PWY	0	0	1.0	0.9996647422193263								
glycine biosynthesis	GLYSYN-ALA-PWY	0	0	1.0	0.9996647422193263								
putrescine biosynthesis II	PWY-40	0	1	1.0	0.9996647422193263				PUTRESCINE	putrescine			
3-phosphoinositide biosynthesis	PWY-6352	0	1	1.0	0.9996647422193263				MYO-INOSITOL	<I>myo</I>-inositol			
glycine cleavage	GLYCLEAV-PWY	0	0	1.0	0.9996647422193263								
putrescine degradation III	PWY-0	0	1	1.0	0.9996647422193263				PUTRESCINE	putrescine			
tryptophan degradation via tryptamine	PWY-6307	0	0	1.0	0.9996647422193263								
D-<i>myo</i>-inositol-5-phosphate metabolism	PWY-6367	0	0	1.0	0.9996647422193263								
tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	PWY-5651	0	0	1.0	0.9996647422193263								
phosphatidylserine biosynthesis I	PWY-7501	0	0	1.0	0.9996647422193263								
phosphatidylserine biosynthesis II	PWY-7506	0	0	1.0	0.9996647422193263								
UMP biosynthesis	PWY-5686	0	0	1.0	0.9996647422193263								
CDP-diacylglycerol biosynthesis	PWY-5667	0	0	1.0	0.9996647422193263								
UTP and CTP <i>de novo</i> biosynthesis	PWY-7176	0	0	1.0	0.9996647422193263								
++++++
Annotation for metabolites in significant pathways
m/z	id	match_form	mz_difference	name	pathway
