pathway	pathID	overlap_size	pathway_size	p-value(raw)	p-value	overlap_features(name)	overlap_features(id)	overlap_input(mzs)	total_metabolites(id)	total_metabolites(name)	overlap_input(featureidx)	input_adduct	MSMS_matching
PRPP biosynthesis	PWY0-662	0	0	1.0	0.9997657355222349								
L-dopa degradation	PWY-6334	0	0	1.0	0.9997657355222349								
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	PWY-6554	0	0	1.0	0.9997657355222349								
<i>N</i>-acetylglucosamine degradation I	GLUAMCAT-PWY	0	0	1.0	0.9997657355222349								
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)	PWY-6362	0	0	1.0	0.9997657355222349								
&beta;-alanine degradation	BETA-ALA-DEGRADATION-I-PWY	0	0	1.0	0.9997657355222349								
dolichyl-diphosphooligosaccharide biosynthesis	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	0	0	1.0	0.9997657355222349								
aspartate biosynthesis	ASPARTATESYN-PWY	0	0	1.0	0.9997657355222349								
palmitate biosynthesis	PWY-5994	0	0	1.0	0.9997657355222349								
oleate biosynthesis	PWY-5996	0	1	1.0	0.9997657355222349				OLEATE-CPD	oleate			
glutaryl-CoA degradation	PWY-5177	0	0	1.0	0.9997657355222349								
valine degradation	VALDEG-PWY	0	0	1.0	0.9997657355222349								
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	PWY-5652	0	0	1.0	0.9997657355222349								
acetate conversion to acetyl-CoA	PWY0-1313	0	0	1.0	0.9997657355222349								
pyruvate decarboxylation to acetyl CoA	PYRUVDEHYD-PWY	0	0	1.0	0.9997657355222349								
ornithine <i>de novo </i> biosynthesis	ARGININE-SYN4-PWY	0	1	1.0	0.9997657355222349				L-ORNITHINE	L-ornithine			
glycerol-3-phosphate shuttle	PWY-6118	0	0	1.0	0.9997657355222349								
ketolysis	PWY66-368	0	0	1.0	0.9997657355222349								
L-cysteine degradation II	PWY-5329	0	0	1.0	0.9997657355222349								
ketogenesis	PWY66-367	0	0	1.0	0.9997657355222349								
L-cysteine degradation I	CYSTEINE-DEG-PWY	0	0	1.0	0.9997657355222349								
spermine biosynthesis	ARGSPECAT-PWY	0	0	1.0	0.9997657355222349								
creatine biosynthesis	GLYCGREAT-PWY	0	1	1.0	0.9997657355222349				L-ORNITHINE	L-ornithine			
pentose phosphate pathway (non-oxidative branch)	NONOXIPENT-PWY	0	0	1.0	0.9997657355222349								
pentose phosphate pathway (oxidative branch)	OXIDATIVEPENT-PWY-1	0	0	1.0	0.9997657355222349								
creatine-phosphate biosynthesis	PWY-6158	0	0	1.0	0.9997657355222349								
malate-aspartate shuttle	MALATE-ASPARTATE-SHUTTLE-PWY	0	0	1.0	0.9997657355222349								
asparagine biosynthesis	ASPARAGINE-BIOSYNTHESIS	0	0	1.0	0.9997657355222349								
histamine biosynthesis	PWY-6173	0	0	1.0	0.9997657355222349								
diphthamide biosynthesis	PWY-6482	0	0	1.0	0.9997657355222349								
propionyl-CoA degradation	PROPIONMET-PWY	0	0	1.0	0.9997657355222349								
hypusine biosynthesis	PWY-5905	0	0	1.0	0.9997657355222349								
methylglyoxal degradation III	PWY-5453	0	0	1.0	0.9997657355222349								
choline degradation	CHOLINE-BETAINE-ANA-PWY	0	0	1.0	0.9997657355222349								
methylglyoxal degradation I	PWY-5386	0	0	1.0	0.9997657355222349								
methylglyoxal degradation VI	MGLDLCTANA-PWY	0	0	1.0	0.9997657355222349								
asparagine degradation	ASPARAGINE-DEG1-PWY-1	0	0	1.0	0.9997657355222349								
tRNA charging	TRNA-CHARGING-PWY	1	1	0.11999999999999995	0.9997657355222349	L-lysine	LYS	132.102282558	LYS	L-lysine	12	M-NH3+H[1+]	
L-glutamine tRNA biosynthesis	PWY-5921	0	0	1.0	0.9997657355222349								
methionine salvage	ADENOSYLHOMOCYSCAT-PWY	0	1	1.0	0.9997657355222349				CPD-397	S-methyl-L-methionine			
lactose degradation III	BGALACT-PWY	0	2	1.0	0.9997657355222349				GALACTOSE;GLC	&beta-D-galactose$&beta-D-glucose			
folate polyglutamylation	PWY-2161	0	0	1.0	0.9997657355222349								
glutamate removal from folates	PWY-2161B	0	0	1.0	0.9997657355222349								
citrulline-nitric oxide cycle	PWY-4983	0	0	1.0	0.9997657355222349								
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	PWY-6613	0	0	1.0	0.9997657355222349								
D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	PWY-6365	0	0	1.0	0.9997657355222349								
inositol pyrophosphates biosynthesis	PWY-6369	0	0	1.0	0.9997657355222349								
D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	PWY-6351	0	1	1.0	0.9997657355222349				MYO-INOSITOL	<I>myo</I>-inositol			
urea cycle	PWY-4984	0	1	1.0	0.9997657355222349				L-ORNITHINE	L-ornithine			
D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis	PWY-6364	0	0	1.0	0.9997657355222349								
glutamine biosynthesis	GLNSYN-PWY	0	0	1.0	0.9997657355222349								
bile acid biosynthesis, neutral pathway	PWY-6061	0	0	1.0	0.9997657355222349								
D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	PWY-6363	0	1	1.0	0.9997657355222349				MYO-INOSITOL	<I>myo</I>-inositol			
zymosterol biosynthesis	PWY-6074	0	0	1.0	0.9997657355222349								
D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis	PWY-6366	0	0	1.0	0.9997657355222349								
pyrimidine deoxyribonucleotide phosphorylation	PWY-7197	0	0	1.0	0.9997657355222349								
leucine degradation	LEU-DEG2-PWY	0	0	1.0	0.9997657355222349								
lanosterol biosynthesis	PWY-6132	0	0	1.0	0.9997657355222349								
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	PWY-7184	0	0	1.0	0.9997657355222349								
acyl-CoA hydrolysis	PWY-5148	0	0	1.0	0.9997657355222349								
allopregnanolone biosynthesis	PWY-7455	0	0	1.0	0.9997657355222349								
epoxysqualene biosynthesis	PWY-5670	0	0	1.0	0.9997657355222349								
pyrimidine deoxyribonucleotides biosynthesis from CTP	PWY-7210	0	0	1.0	0.9997657355222349								
dolichol and dolichyl phosphate biosynthesis	PWY-6129	0	0	1.0	0.9997657355222349								
biotin-carboxyl carrier protein assembly	PWY0-1264	0	0	1.0	0.9997657355222349								
sphingomyelin metabolism/ceramide salvage	PWY3DJ-11281	0	0	1.0	0.9997657355222349								
triacylglycerol biosynthesis	TRIGLSYN-PWY	0	0	1.0	0.9997657355222349								
coenzyme A biosynthesis	COA-PWY-1	0	0	1.0	0.9997657355222349								
tRNA splicing	PWY-6689	0	0	1.0	0.9997657355222349								
mRNA capping	PWY-7375-1	0	0	1.0	0.9997657355222349								
2-oxoglutarate decarboxylation to succinyl-CoA	PWY-5084	0	0	1.0	0.9997657355222349								
2-oxoisovalerate decarboxylation to isobutanoyl-CoA	PWY-5046	0	0	1.0	0.9997657355222349								
folate transformations I	PWY-2201	0	0	1.0	0.9997657355222349								
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	PWY-7286	0	0	1.0	0.9997657355222349								
melatonin degradation II	PWY-6399	0	1	1.0	0.9997657355222349				CPD-12020	5-methoxyindole acetate			
fatty acid elongation -- saturated	FASYN-ELONG-PWY	0	0	1.0	0.9997657355222349								
fatty acid biosynthesis initiation	PWY-5966-1	0	0	1.0	0.9997657355222349								
melatonin degradation I	PWY-6398	0	0	1.0	0.9997657355222349								
lysine degradation II (pipecolate pathway)	PWY66-425	1	1	0.11999999999999995	0.9997657355222349	L-lysine	LYS	132.102282558	LYS	L-lysine	12	M-NH3+H[1+]	
lysine degradation I (saccharopine pathway)	LYSINE-DEG1-PWY	1	1	0.11999999999999995	0.9997657355222349	L-lysine	LYS	132.102282558	LYS	L-lysine	12	M-NH3+H[1+]	
formaldehyde oxidation	PWY-1801	0	0	1.0	0.9997657355222349								
melatonin degradation III	PWY-6400	0	0	1.0	0.9997657355222349								
histidine degradation	PWY-5030	0	0	1.0	0.9997657355222349								
ethanol degradation II	PWY66-21	0	0	1.0	0.9997657355222349								
ethanol degradation IV	PWY66-162	0	0	1.0	0.9997657355222349								
oxidative ethanol degradation III	PWY66-161	0	0	1.0	0.9997657355222349								
heme biosynthesis from uroporphyrinogen-III I	HEME-BIOSYNTHESIS-II	0	0	1.0	0.9997657355222349								
cardiolipin biosynthesis	PWY-5269	0	0	1.0	0.9997657355222349								
phosphatidylcholine biosynthesis	PWY3O-450	0	0	1.0	0.9997657355222349								
nicotine degradation IV	PWY66-201	0	2	1.0	0.9997657355222349				4-3-PYRIDYL-BUTANOATE;CPD-2748	4-(3-pyridyl)-butanoate$nornicotine			
nicotine degradation III	PWY66-221	0	1	1.0	0.9997657355222349				4-3-PYRIDYL-BUTANOATE	4-(3-pyridyl)-butanoate			
guanosine nucleotides degradation	PWY-6608	0	0	1.0	0.9997657355222349								
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis	PWY-7226	0	0	1.0	0.9997657355222349								
ascorbate recycling (cytosolic)	PWY-6370	0	0	1.0	0.9997657355222349								
D-galactose degradation V (Leloir pathway)	PWY66-422	0	2	1.0	0.9997657355222349				GALACTOSE;ALPHA-D-GALACTOSE	&beta-D-galactose$&alpha-D-galactose			
phytol degradation	PWY66-389	0	1	1.0	0.9997657355222349				CPD-14927	phytenate			
spermidine biosynthesis	BSUBPOLYAMSYN-PWY	0	1	1.0	0.9997657355222349				PUTRESCINE	putrescine			
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	PWY-4361	0	0	1.0	0.9997657355222349								
phenylethylamine degradation I	2PHENDEG-PWY	0	0	1.0	0.9997657355222349								
protein citrullination	PWY-4921	0	0	1.0	0.9997657355222349								
histamine degradation	PWY-6181	0	0	1.0	0.9997657355222349								
threonine degradation	PWY66-428	0	0	1.0	0.9997657355222349								
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	PWY-6755	0	0	1.0	0.9997657355222349								
dopamine degradation	PWY6666-2	0	0	1.0	0.9997657355222349								
UTP and CTP dephosphorylation I	PWY-7185	0	0	1.0	0.9997657355222349								
4-aminobutyrate degradation	PWY-6535	0	0	1.0	0.9997657355222349								
GDP-mannose biosynthesis	PWY-5659	0	0	1.0	0.9997657355222349								
UTP and CTP dephosphorylation II	PWY-7177	0	0	1.0	0.9997657355222349								
GDP-L-fucose biosynthesis I (from GDP-D-mannose)	PWY-66	0	0	1.0	0.9997657355222349								
GDP-L-fucose biosynthesis II (from L-fucose)	PWY-6	0	0	1.0	0.9997657355222349								
docosahexaenoate biosynthesis III (mammals)	PWY-7606	0	0	1.0	0.9997657355222349								
geranylgeranyldiphosphate biosynthesis	PWY-5120	0	0	1.0	0.9997657355222349								
ubiquinol-10 biosynthesis	PWY-5872	0	0	1.0	0.9997657355222349								
protein ubiquitylation	PWY-7511	0	0	1.0	0.9997657355222349								
protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation	PWY-7437	0	0	1.0	0.9997657355222349								
ceramide <i>de novo</i> biosynthesis	PWY3DJ-12	0	0	1.0	0.9997657355222349								
TCA cycle	PWY66-398	0	0	1.0	0.9997657355222349								
terminal <i>O</i>-glycans residues modification	PWY-7434	0	0	1.0	0.9997657355222349								
cysteine biosynthesis/homocysteine degradation (trans-sulfuration)	HOMOCYSDEGR-PWY	0	0	1.0	0.9997657355222349								
mucin core 1 and core 2 <i>O</i>-glycosylation	PWY-7433	0	0	1.0	0.9997657355222349								
dTMP <i>de novo</i> biosynthesis (mitochondrial)	PWY66-385	0	0	1.0	0.9997657355222349								
stearate biosynthesis	PWY-5972	0	0	1.0	0.9997657355222349								
4-hydroxybenzoate biosynthesis	PWY-5754	0	0	1.0	0.9997657355222349								
CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	PWY-6138	0	0	1.0	0.9997657355222349								
purine deoxyribonucleosides salvage	PWY-7224	0	0	1.0	0.9997657355222349								
adenine and adenosine salvage III	PWY-6609	0	0	1.0	0.9997657355222349								
adenine and adenosine salvage I	P121-PWY	0	0	1.0	0.9997657355222349								
adenine and adenosine salvage II	PWY-6619	0	0	1.0	0.9997657355222349								
guanine and guanosine salvage	PWY-6620	0	0	1.0	0.9997657355222349								
alanine biosynthesis/degradation	ALANINE-DEG3-PWY	0	0	1.0	0.9997657355222349								
5-aminoimidazole ribonucleotide biosynthesis	PWY-6121	0	0	1.0	0.9997657355222349								
thiosulfate disproportionation III (rhodanese)	PWY-5350	0	0	1.0	0.9997657355222349								
thyroid hormone metabolism II (via conjugation and/or degradation)	PWY-6261	0	1	1.0	0.9997657355222349				CPD-11401	L-thyroxine acyl &beta-D-glucuronide			
D-mannose degradation	MANNCAT-PWY	0	0	1.0	0.9997657355222349								
thyroid hormone metabolism I (via deiodination)	PWY-6260	0	0	1.0	0.9997657355222349								
2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	PWY-7180	0	0	1.0	0.9997657355222349								
lipoate biosynthesis and incorporation	PWY0-1275	0	0	1.0	0.9997657355222349								
lipoate salvage	PWY0-522	0	0	1.0	0.9997657355222349								
thiamin salvage III	PWY-6898	0	0	1.0	0.9997657355222349								
tetrapyrrole biosynthesis	PWY-5189	0	0	1.0	0.9997657355222349								
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	PWY-7227	0	0	1.0	0.9997657355222349								
dermatan sulfate biosynthesis (late stages)	PWY-6568	0	0	1.0	0.9997657355222349								
heparan sulfate biosynthesis (late stages)	PWY-6558	0	0	1.0	0.9997657355222349								
trehalose degradation	PWY0-1182	0	2	1.0	0.9997657355222349				GLC;ALPHA-GLUCOSE	&beta-D-glucose$&alpha-D-glucose			
tetrahydrobiopterin <i>de novo</i> biosynthesis	PWY-5663	0	0	1.0	0.9997657355222349								
chondroitin sulfate biosynthesis (late stages)	PWY-6567	0	0	1.0	0.9997657355222349								
glutathione biosynthesis	GLUTATHIONESYN-PWY	0	0	1.0	0.9997657355222349								
urate biosynthesis/inosine 5'-phosphate degradation	PWY-5695	0	0	1.0	0.9997657355222349								
thioredoxin pathway	THIOREDOX-PWY	0	0	1.0	0.9997657355222349								
purine deoxyribonucleosides degradation	PWY-7179-1	0	0	1.0	0.9997657355222349								
purine ribonucleosides degradation to ribose-1-phosphate	PWY0-1296	0	0	1.0	0.9997657355222349								
glycoaminoglycan-protein linkage region biosynthesis	PWY-6557	0	0	1.0	0.9997657355222349								
glutathione redox reactions II	GLUT-REDOX-PWY	0	0	1.0	0.9997657355222349								
adenosine nucleotides degradation	SALVADEHYPOX-PWY	0	0	1.0	0.9997657355222349								
chondroitin biosynthesis	PWY-6566	0	0	1.0	0.9997657355222349								
glutathione redox reactions I	PWY-4081	0	0	1.0	0.9997657355222349								
serotonin and melatonin biosynthesis	PWY-6030	0	0	1.0	0.9997657355222349								
vitamin D<sub>3</sub> biosynthesis	PWY-6076	0	0	1.0	0.9997657355222349								
thyroid hormone biosynthesis	PWY-6241	0	0	1.0	0.9997657355222349								
progesterone biosynthesis	PWY-7299	0	0	1.0	0.9997657355222349								
estradiol biosynthesis II	PWY-7306	0	0	1.0	0.9997657355222349								
morphine biosynthesis	PWY-5270	0	0	1.0	0.9997657355222349								
catecholamine biosynthesis	PWY66-301	0	0	1.0	0.9997657355222349								
C20 prostanoid biosynthesis	PWY66-374	0	0	1.0	0.9997657355222349								
glutamate biosynthesis/degradation	GLUTAMATE-SYN2-PWY	0	0	1.0	0.9997657355222349								
leukotriene biosynthesis	PWY66-375	0	0	1.0	0.9997657355222349								
pregnenolone biosynthesis	PWY66-377	0	0	1.0	0.9997657355222349								
glutamine degradation/glutamate biosynthesis	GLUTAMINDEG-PWY	0	0	1.0	0.9997657355222349								
androgen biosynthesis	PWY66-378	0	0	1.0	0.9997657355222349								
estradiol biosynthesis I	PWY66-380	0	0	1.0	0.9997657355222349								
isoleucine degradation	ILEUDEG-PWY	0	0	1.0	0.9997657355222349								
glucocorticoid biosynthesis	PWY66-381	0	0	1.0	0.9997657355222349								
glycolysis	PWY66-400	0	0	1.0	0.9997657355222349								
mineralocorticoid biosynthesis	PWY66-382	0	0	1.0	0.9997657355222349								
lipoxin biosynthesis	PWY66-392	0	0	1.0	0.9997657355222349								
aspirin-triggered lipoxin biosynthesis	PWY66-393	0	0	1.0	0.9997657355222349								
aspirin triggered resolvin E biosynthesis	PWY66-394	0	0	1.0	0.9997657355222349								
L-carnitine biosynthesis	PWY-6100	0	0	1.0	0.9997657355222349								
aspirin triggered resolvin D biosynthesis	PWY66-395	0	0	1.0	0.9997657355222349								
resolvin D biosynthesis	PWY66-397	0	0	1.0	0.9997657355222349								
Rapoport-Luebering glycolytic shunt	PWY-6405	0	0	1.0	0.9997657355222349								
carnosine biosynthesis	PWY66-420	0	0	1.0	0.9997657355222349								
fructose 2,6-bisphosphate synthesis	PWY66-423	0	0	1.0	0.9997657355222349								
adenosine ribonucleotides <i>de novo</i> biosynthesis	PWY-7219	0	0	1.0	0.9997657355222349								
homocarnosine biosynthesis	PWY66-421	0	0	1.0	0.9997657355222349								
guanosine ribonucleotides <i>de novo</i> biosynthesis	PWY-7221	0	0	1.0	0.9997657355222349								
inosine-5'-phosphate biosynthesis	PWY-6124	0	0	1.0	0.9997657355222349								
glycogenolysis	PWY-5941	0	1	1.0	0.9997657355222349				GLC	&beta-D-glucose			
arachidonate biosynthesis IV (8-detaturase)	PWY-7601	0	0	1.0	0.9997657355222349								
glycogen biosynthesis	PWY-5067	0	0	1.0	0.9997657355222349								
glycine/serine biosynthesis	GLYSYN-PWY	0	0	1.0	0.9997657355222349								
putrescine biosynthesis I	PWY-46	0	2	1.0	0.9997657355222349				PUTRESCINE;L-ORNITHINE	putrescine$L-ornithine			
tyrosine degradation	TYRFUMCAT-PWY	0	0	1.0	0.9997657355222349								
glycine biosynthesis	GLYSYN-ALA-PWY	0	0	1.0	0.9997657355222349								
putrescine biosynthesis II	PWY-40	0	1	1.0	0.9997657355222349				PUTRESCINE	putrescine			
3-phosphoinositide biosynthesis	PWY-6352	0	1	1.0	0.9997657355222349				MYO-INOSITOL	<I>myo</I>-inositol			
glycine cleavage	GLYCLEAV-PWY	0	0	1.0	0.9997657355222349								
putrescine degradation III	PWY-0	0	1	1.0	0.9997657355222349				PUTRESCINE	putrescine			
tryptophan degradation via tryptamine	PWY-6307	0	0	1.0	0.9997657355222349								
D-<i>myo</i>-inositol-5-phosphate metabolism	PWY-6367	0	0	1.0	0.9997657355222349								
tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	PWY-5651	0	0	1.0	0.9997657355222349								
phosphatidylserine biosynthesis I	PWY-7501	0	0	1.0	0.9997657355222349								
phosphatidylserine biosynthesis II	PWY-7506	0	0	1.0	0.9997657355222349								
UMP biosynthesis	PWY-5686	0	0	1.0	0.9997657355222349								
CDP-diacylglycerol biosynthesis	PWY-5667	0	0	1.0	0.9997657355222349								
UTP and CTP <i>de novo</i> biosynthesis	PWY-7176	0	0	1.0	0.9997657355222349								
++++++
Annotation for metabolites in significant pathways
m/z	id	match_form	mz_difference	name	pathway
